Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO13142	Outer-membrane lipoprotein carrier protein; Chaperone; Complete proteome; Periplasm; Protein transport; Signal; Transport	Outer membrane lipoprotein carrier protein LolA; Predicted periplasmic protein (DUF2092); Outer membrane lipoprotein-sorting protein; Protein of unknown function (DUF489)	NULL	NULL	periplasmic space [GO:0042597]; lipoprotein transporter activity [GO:0042954]	NULL
ABO13144	50S ribosomal protein L21; Complete proteome; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Ribosomal prokaryotic L21 protein; Domain of unknown function (DUF4623)	Ribosomal protein L21 signature	Ribosome [acb03010]	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; ribosome [GO:0005840]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]	NULL
ABO12410	NULL	Met-10+ like-protein; Domain of unknown function (DUF4092)	NULL	NULL	NULL	NULL
ABO12412	33 kDa chaperonin; Chaperone; Complete proteome; Cytoplasm; Disulfide bond; Redox-active center; Reference proteome; Stress response; Zinc	NULL	NULL	NULL	cytoplasm [GO:0005737]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]	NULL
ABO12413	Fumarate hydratase class II; Complete proteome; Cytoplasm; Lyase; Tricarboxylic acid cycle	Lyase; Fumarase C C-terminus	Fumarate lyases signature	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Microbial metabolism in diverse environments [acb01120]; Citrate cycle (TCA cycle) [acb00020]; Biosynthesis of antibiotics [acb01130]; Carbon metabolism [acb01200]; Pyruvate metabolism [acb00620]	tricarboxylic acid cycle enzyme complex [GO:0045239]; fumarate hydratase activity [GO:0004333]; fumarate metabolic process [GO:0006106]; tricarboxylic acid cycle [GO:0006099]; lyase activity [GO:0016829]; tricarboxylic acid cycle [GO:0006099]; catalytic activity [GO:0003824]	NULL
ABO12395	Uncharacterized protein aq_157; Coiled coil; Complete proteome; Reference proteome; Signal	Outer membrane protein (OmpH-like); Reovirus sigma C capsid protein; Protein of unknown function (DUF1664); Family with sequence similarity 184, A and B; Poly(hydroxyalcanoate) granule associated protein (phasin); Apolipoprotein A1/A4/E domain; CRISPR-associated (Cas) DxTHG family; Vacuolar (H+)-ATPase G subunit; Flagellar Assembly Protein A; LMBR1-like membrane protein; JNK_SAPK-associated protein-1; FAM76 protein; Uncharacterized protein conserved in archaea (DUF2120); Protein of unknown function (DUF1595); Bacterial protein of unknown function (DUF883); Prominin; Tropomyosin like; C-terminal leucine zipper domain of cyclic nucleotide-gated channels; Interactor of ZYG-11; Fusaric acid resistance protein family; TATA element modulatory factor 1 DNA binding; Organelle biogenesis, Muted-like protein; Bacterial protein of unknown function (DUF948); GrpE; Nbl1 / Borealin N terminal	NULL	NULL	unfolded protein binding [GO:0051082]; unfolded protein binding [GO:0051082]; lipid binding [GO:0008289]; lipid transport [GO:0006869]; lipoprotein metabolic process [GO:0042157]; extracellular region [GO:0005576]; integral component of membrane [GO:0016021]; transport [GO:0006810]; plasma membrane [GO:0005886]; transport vesicle [GO:0030133]; BLOC-1 complex [GO:0031083]; adenyl-nucleotide exchange factor activity [GO:0000774]; protein homodimerization activity [GO:0042803]; chaperone binding [GO:0051087]; protein folding [GO:0006457]	NULL
ABO12394	UDP-3-O-acylglucosamine N-acyltransferase; Acyltransferase; Complete proteome; Lipid A biosynthesis; Lipid biosynthesis; Lipid metabolism; Repeat; Transferase	Bacterial transferase hexapeptide (six repeats); UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD; Hexapeptide repeat of succinyl-transferase; L-fucokinase; Domain of unknown function (DUF4954); Family of unknown function (DUF5309)	NULL	Metabolic pathways [acb01100]; Lipopolysaccharide biosynthesis [acb00540]	N-acyltransferase activity [GO:0016410]; lipid A biosynthetic process [GO:0009245]; transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747]; lipid A biosynthetic process [GO:0009245]; transferase activity, transferring phosphorus-containing groups [GO:0016772]	NULL
ABO12393	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ; Cytoplasm; Lipid A biosynthesis; Lipid biosynthesis; Lipid metabolism; Lyase	FabA-like domain; RnfC Barrel sandwich hybrid domain; MaoC like domain	NULL	Metabolic pathways [acb01100]; Biotin metabolism [acb00780]; Fatty acid metabolism [acb01212]; Fatty acid biosynthesis [acb00061]	cytoplasm [GO:0005737]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; fatty acid biosynthetic process [GO:0006633]; lipid A biosynthetic process [GO:0009245]	NULL
ABO12399	Phosphatidate cytidylyltransferase; Cell inner membrane; Cell membrane; Complete proteome; Lipid biosynthesis; Lipid metabolism; Membrane; Nucleotidyltransferase; Phospholipid biosynthesis; Phospholipid metabolism; Reference proteome; Transferase; Transmembrane; Transmembrane helix	Cytidylyltransferase family; CDP-archaeol synthase	Phosphatidate cytidylyltransferase signature; Prokaryotic membrane lipoprotein lipid attachment site profile	Metabolic pathways [acb01100]; Glycerophospholipid metabolism [acb00564]; Biosynthesis of secondary metabolites [acb01110]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; phosphatidate cytidylyltransferase activity [GO:0004605]; CDP-diacylglycerol biosynthetic process [GO:0016024]; phosphatidylglycerol biosynthetic process [GO:0006655]; transferase activity, transferring phosphorus-containing groups [GO:0016772]; membrane [GO:0016020]	NULL
ABO12398	1-deoxy-D-xylulose 5-phosphate reductoisomerase; Isoprene biosynthesis; Metal-binding; NADP; Oxidoreductase	1-deoxy-D-xylulose 5-phosphate reductoisomerase; DXP reductoisomerase C-terminal domain; 1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal; Homoserine dehydrogenase, NAD binding domain; Semialdehyde dehydrogenase, NAD binding domain; NAD dependent epimerase/dehydratase family; Zn-dependent metallo-hydrolase RNA specificity domain; Rapamycin-insensitive companion of mTOR, middle domain	NULL	Metabolic pathways [acb01100]; Biosynthesis of antibiotics [acb01130]; Biosynthesis of secondary metabolites [acb01110]; Terpenoid backbone biosynthesis [acb00900]	1-deoxy-D-xylulose-5-phosphate reductoisomerase activity [GO:0030604]; metal ion binding [GO:0046872]; NADPH binding [GO:0070402]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; NADPH binding [GO:0070402]; oxidation-reduction process [GO:0055114]; protein binding [GO:0005515]; oxidoreductase activity [GO:0016491]; NADP binding [GO:0050661]; oxidation-reduction process [GO:0055114]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]; NAD binding [GO:0051287]; oxidation-reduction process [GO:0055114]; catalytic activity [GO:0003824]; coenzyme binding [GO:0050662]	NULL
ABS90335	UPF0391 membrane protein ABSDF3618; Cell membrane; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	Protein of unknown function (DUF1328); Multiple resistance and pH regulation protein F (MrpF / PhaF); Protein of unknown function DUF131; Protein of unknown function (DUF973)	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; plasma membrane [GO:0005886]; ion transmembrane transporter activity [GO:0015075]; ion transmembrane transport [GO:0034220]; integral component of membrane [GO:0016021]	NULL
ABS90334	NULL	NULL	NULL	NULL	NULL	NULL
ABO10908	Biopolymer transport protein ExbB; Cell inner membrane; Cell membrane; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport	MotA/TolQ/ExbB proton channel family; YlqD protein; Integral membrane protein DUF106; NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	Eukaryotic thiol (cysteine) proteases histidine active site	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein transporter activity [GO:0008565]; protein transporter activity [GO:0008565]; transport [GO:0006810]; membrane [GO:0016020]; membrane [GO:0016020]	NULL
ABO10909	Biopolymer transport protein ExbD; Cell inner membrane; Cell membrane; Membrane; Protein transport; Transmembrane; Transmembrane helix; Transport	Biopolymer transport protein ExbD/TolR; Uncharacterized conserved protein (DUF2149)	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transporter activity [GO:0005215]; protein transport [GO:0015031]; transporter activity [GO:0005215]; transport [GO:0006810]; membrane [GO:0016020]	NULL
ABO10905	HTH-type transcriptional repressor KstR2; Complete proteome; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	Bacterial transcriptional repressor; Bacterial regulatory proteins, tetR family; HTH DNA binding domain; Helix-turn-helix domain; Bacterial regulatory protein, arsR family; Winged helix-turn-helix DNA-binding	TetR-type HTH domain profile	NULL	DNA binding [GO:0003677]; protein homodimerization activity [GO:0042803]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; DNA binding [GO:0003677]	NULL
ABO10901	Putative cation/proton antiporter YbaL; 3D-structure; Antiport; Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Nucleotide-binding; Reference proteome; Transmembrane; Transmembrane helix; Transport	Sodium/hydrogen exchanger family; TrkA-N domain; 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain; Putative NAD(P)-binding; NADP oxidoreductase coenzyme F420-dependent; Saccharopine dehydrogenase NADP binding domain; Shikimate / quinate 5-dehydrogenase; Acetohydroxy acid isomeroreductase, NADPH-binding domain; NAD binding domain of 6-phosphogluconate dehydrogenase; NAD(P)H-binding	RCK N-terminal domain profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; solute:proton antiporter activity [GO:0015299]; potassium ion transport [GO:0006813]; solute:proton antiporter activity [GO:0015299]; cation transport [GO:0006812]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; potassium ion transport [GO:0006813]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; oxidoreductase activity [GO:0016491]; fatty acid metabolic process [GO:0006631]; oxidation-reduction process [GO:0055114]; precorrin-2 dehydrogenase activity [GO:0043115]; porphyrin-containing compound biosynthetic process [GO:0006779]; siroheme biosynthetic process [GO:0019354]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]; oxidation-reduction process [GO:0055114]; phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]; oxidation-reduction process [GO:0055114]; potassium ion transport [GO:0006813]	NULL
ABS90339	NULL	Putative methionine and alanine importer, small subunit; Tumour necrosis factor receptor superfamily member 19	NULL	NULL	NULL	NULL
ABO10862	Uncharacterized HTH-type transcriptional regulator YobV; Complete proteome; Cytoplasm; DNA-binding; Reference proteome; Repressor; Transcription; Transcription regulation	HTH domain; WYL domain; Crp-like helix-turn-helix domain; DeoR-like helix-turn-helix domain; HTH domain; Helix-turn-helix domain; Helix-turn-helix domain; IclR helix-turn-helix domain; Winged helix-turn-helix DNA-binding; Helix-turn-helix domain	NULL	NULL	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; intracellular [GO:0005622]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO12648	Sodium/glutamate symporter; Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Ion transport; Membrane; Reference proteome; Sodium; Sodium transport; Symport; Transmembrane; Transmembrane helix; Transport	Sodium/glutamate symporter; N terminus of Notch ligand	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; glutamate:sodium symporter activity [GO:0015501]; glutamate:sodium symporter activity [GO:0015501]; L-glutamate transport [GO:0015813]; integral component of membrane [GO:0016021]; Notch signaling pathway [GO:0007219]; multicellular organism development [GO:0007275]; integral component of membrane [GO:0016021]	NULL
ABO10864	Cytochrome P450 1B1; 3D-structure; Complete proteome; Disease mutation; Endoplasmic reticulum; Glaucoma; Heme; Iron; Membrane; Metal-binding; Microsome; Mitochondrion; Monooxygenase; Oxidoreductase; Peters anomaly; Polymorphism; Reference proteome	Protein of unknown function (DUF1345); Ferrous iron uptake permease, iron-lead transporter; Transition state regulatory protein AbrB; GWT1; Domain of unknown function (DUF4407)	NULL	NULL	endoplasmic reticulum membrane [GO:0005789]; intracellular membrane-bounded organelle [GO:0043231]; mitochondrion [GO:0005739]; organelle membrane [GO:0031090]; aromatase activity [GO:0070330]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]; oxygen binding [GO:0019825]; angiogenesis [GO:0001525]; arachidonic acid metabolic process [GO:0019369]; blood vessel morphogenesis [GO:0048514]; cell adhesion [GO:0007155]; cellular aromatic compound metabolic process [GO:0006725]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to organic cyclic compound [GO:0071407]; collagen fibril organization [GO:0030199]; endothelial cell migration [GO:0043542]; endothelial cell-cell adhesion [GO:0071603]; epoxygenase P450 pathway [GO:0019373]; estrogen metabolic process [GO:0008210]; intrinsic apoptotic signaling pathway in response to oxidative stress [GO:0008631]; membrane lipid catabolic process [GO:0046466]; negative regulation of cell adhesion mediated by integrin [GO:0033629]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation [GO:0008285]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; nitric oxide biosynthetic process [GO:0006809]; omega-hydroxylase P450 pathway [GO:0097267]; oxidation-reduction process [GO:0055114]; positive regulation of angiogenesis [GO:0045766]; positive regulation of apoptotic process [GO:0043065]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of vascular endothelial growth factor production [GO:0010575]; regulation of reactive oxygen species metabolic process [GO:2000377]; response to toxic substance [GO:0009636]; retinal blood vessel morphogenesis [GO:0061304]; retinal metabolic process [GO:0042574]; retinol metabolic process [GO:0042572]; steroid metabolic process [GO:0008202]; sterol metabolic process [GO:0016125]; toxin metabolic process [GO:0009404]; trabecular meshwork development [GO:0002930]; visual perception [GO:0007601]; xenobiotic metabolic process [GO:0006805]; regulation of gene expression [GO:0010468]; integral component of membrane [GO:0016021]; transferase activity, transferring acyl groups [GO:0016746]; GPI anchor biosynthetic process [GO:0006506]; integral component of membrane [GO:0016021]	NULL
ABO10869	RNA pyrophosphohydrolase; Complete proteome; Hydrolase	NUDIX domain; NUDIX domain	Nudix box signature; Nudix hydrolase domain profile	RNA degradation [acb03018]	hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]; hydrolase activity [GO:0016787]	NULL
ABO13813	50S ribosomal protein L21; Complete proteome; Reference proteome; Ribonucleoprotein; Ribosomal protein; RNA-binding; rRNA-binding	Prokaryotic lipoprotein-attachment site; NlpB/DapX lipoprotein	Prokaryotic membrane lipoprotein lipid attachment site profile	NULL	ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	NULL
ABO13812	4-hydroxy-tetrahydrodipicolinate synthase; Amino-acid biosynthesis; Complete proteome; Cytoplasm; Diaminopimelate biosynthesis; Lyase; Lysine biosynthesis; Schiff base	Dihydrodipicolinate synthetase family; CutC family; Dihydroorotate dehydrogenase; Microtubule binding; Cytosol aminopeptidase family, N-terminal domain	Dihydrodipicolinate synthase signature 1; Dihydrodipicolinate synthase signature 2	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Lysine biosynthesis [acb00300]; Microbial metabolism in diverse environments [acb01120]; Monobactam biosynthesis [acb00261]; Biosynthesis of antibiotics [acb01130]; Biosynthesis of amino acids [acb01230]	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]; lyase activity [GO:0016829]; metabolic process [GO:0008152]; copper ion binding [GO:0005507]; copper ion homeostasis [GO:0055070]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; oxidation-reduction process [GO:0055114]; cytoplasm [GO:0005737]; microtubule binding [GO:0008017]; aminopeptidase activity [GO:0004177]; proteolysis [GO:0006508]; intracellular [GO:0005622]; lyase activity [GO:0016829]; metabolic process [GO:0008152]; lyase activity [GO:0016829]; metabolic process [GO:0008152]	NULL
ABO11541	Hydroxycinnamoyl-CoA hydratase-lyase; 3D-structure; Direct protein sequencing; Lyase	Enoyl-CoA hydratase/isomerase; Enoyl-CoA hydratase/isomerase	Enoyl-CoA hydratase/isomerase signature	Metabolic pathways [acb01100]; Phenylalanine metabolism [acb00360]; Biosynthesis of secondary metabolites [acb01110]	trans-feruloyl-CoA hydratase activity [GO:0050548]; vanillin synthase activity [GO:0050547]; metabolic process [GO:0008152]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]; 3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]	NULL
ABO10540	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD; Cell wall biogenesis/degradation; Complete proteome; Cytoplasm; Hydrolase; Metal-binding; Reference proteome; Zinc	N-acetylmuramoyl-L-alanine amidase	NULL	NULL	cytoplasm [GO:0005737]; outer membrane [GO:0019867]; metal ion binding [GO:0046872]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; cell wall organization [GO:0071555]; peptidoglycan catabolic process [GO:0009253]; peptidoglycan turnover [GO:0009254]; N-acetylmuramoyl-L-alanine amidase activity [GO:0008745]; peptidoglycan catabolic process [GO:0009253]	NULL
ABS90144	NULL	Mycoplasma MFS transporter	Prokaryotic membrane lipoprotein lipid attachment site profile	NULL	NULL	NULL
ABO13802	Aromatic amino acid transport protein AroP; Amino-acid transport; Cell inner membrane; Cell membrane; Complete proteome; Membrane; Transmembrane; Transmembrane helix; Transport	Amino acid permease; Amino acid permease	Amino acid permeases signature	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; transport [GO:0006810]; transmembrane transport [GO:0055085]; membrane [GO:0016020]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transmembrane transport [GO:0003333]; membrane [GO:0016020]; amino acid transport [GO:0006865]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	NULL
ABO10782	Uncharacterized protein YdhJ; Complete proteome; Membrane; Reference proteome; Transmembrane; Transmembrane helix	HlyD family secretion protein; Biotin-lipoyl like; Barrel-sandwich domain of CusB or HlyD membrane-fusion; Biotin-requiring enzyme; HlyD membrane-fusion protein of T1SS; Outer membrane efflux protein; phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1	NULL	NULL	integral component of membrane [GO:0016021]; sulfathiazole transmembrane transporter activity [GO:0015546]; sulfathiazole transmembrane transport [GO:1902599]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]; membrane [GO:0016020]; transporter activity [GO:0005215]; transport [GO:0006810]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	NULL
ABO12937	NULL	Domain of unknown function (DUF4845); Protein of unknown function (DUF4199)	NULL	NULL	NULL	NULL
ABO10780	Uncharacterized HTH-type transcriptional regulator YagI; Complete proteome; DNA-binding; Reference proteome; Transcription; Transcription regulation	Bacterial transcriptional regulator; IclR helix-turn-helix domain; Transcriptional regulator; Winged helix-turn-helix DNA-binding; Helix-turn-helix domain; Winged helix-turn helix; Sugar-specific transcriptional regulator TrmB; HTH domain; MarR family; Bacterial regulatory protein, arsR family; Helix-turn-helix domain; Domain of unknown function (DUF1476); DeoR-like helix-turn-helix domain	IclR-type HTH domain profile; IclR effector binding domain profile	NULL	DNA binding [GO:0003677]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; single-species biofilm formation [GO:0044010]; transcription, DNA-templated [GO:0006351]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; intracellular [GO:0005622]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO12936	Ribonuclease 3; Cytoplasm; Endonuclease; Hydrolase; Magnesium; Metal-binding; mRNA processing; Nuclease; RNA-binding; rRNA processing; rRNA-binding; tRNA processing	Ribonuclease-III-like; Ribonuclease III domain; Double-stranded RNA binding motif; double strand RNA binding domain from DEAD END PROTEIN 1	Ribonuclease III family signature; Double stranded RNA-binding domain (dsRBD) profile; Ribonuclease III family domain profile	NULL	cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; rRNA binding [GO:0019843]; mRNA processing [GO:0006397]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; tRNA processing [GO:0008033]; ribonuclease III activity [GO:0004525]; RNA processing [GO:0006396]; ribonuclease III activity [GO:0004525]; RNA processing [GO:0006396]; ribonuclease III activity [GO:0004525]; RNA processing [GO:0006396]; ribonuclease III activity [GO:0004525]; RNA processing [GO:0006396]	NULL
ABO12160	Uncharacterized HTH-type transcriptional regulator YbhD; Complete proteome; DNA-binding; Reference proteome; Transcription; Transcription regulation	LysR substrate binding domain; Bacterial regulatory helix-turn-helix protein, lysR family	LysR-type HTH domain profile	NULL	cytosol [GO:0005829]; bacterial-type RNA polymerase core promoter proximal region sequence-specific DNA binding [GO:0000986]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	NULL
ABO13601	NULL	NULL	NULL	NULL	NULL	NULL
ABO13606	Vacuolar membrane protease; Complete proteome; Glycoprotein; Hydrolase; Membrane; Metal-binding; Metalloprotease; Protease; Reference proteome; Transmembrane; Transmembrane helix; Vacuole; Zinc	Probable Zinc-ribbon domain; Transposase zinc-ribbon domain; PhnA Zinc-Ribbon; Zinc ribbon domain; Putative Actinobacterial Holin-X, holin superfamily III; zinc-ribbon domain; zinc-ribbon domain; Transcription factor S-II (TFIIS); SHP2-interacting transmembrane adaptor protein, SIT; Predicted integral membrane zinc-ribbon metal-binding protein	NULL	NULL	fungal-type vacuole membrane [GO:0000329]; integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]; transcription, DNA-templated [GO:0006351]	NULL
ABO13607	Metal cation efflux system protein CzcD; Cadmium; Cadmium resistance; Cell inner membrane; Cell membrane; Cobalt; Complete proteome; Ion transport; Membrane; Plasmid; Reference proteome; Transmembrane; Transmembrane helix; Transport; Zinc; Zinc transport	Cation efflux family; Phospholipid-translocating P-type ATPase C-terminal	NULL	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation transmembrane transporter activity [GO:0008324]; detoxification of zinc ion [GO:0010312]; response to cadmium ion [GO:0046686]; zinc II ion transport [GO:0006829]; cation transmembrane transporter activity [GO:0008324]; cation transport [GO:0006812]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	NULL
ABO12639	Proline/betaine transporter; Cell inner membrane; Cell membrane; Coiled coil; Complete proteome; Membrane; Symport; Transmembrane; Transmembrane helix; Transport	Sugar (and other) transporter; Major Facilitator Superfamily; Osmosensory transporter coiled coil; Transmembrane secretion effector; Prefoldin subunit; Prefoldin subunit; Spectrin repeat; MerR, DNA binding; Nucleopolyhedrovirus P10 protein; Fungal N-terminal domain of STAND proteins; LPS binding domain of CAP18 (C terminal)	Sugar transport proteins signature 1; Sugar transport proteins signature 2; Major facilitator superfamily (MFS) profile	NULL	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; symporter activity [GO:0015293]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; prefoldin complex [GO:0016272]; protein binding [GO:0005515]; viral capsid [GO:0019028]; defense response to bacterium [GO:0042742]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]; transporter activity [GO:0005215]; transmembrane transport [GO:0055085]; integral component of membrane [GO:0016021]	NULL
ABO11263	Aspartate 1-decarboxylase; Autocatalytic cleavage; Cytoplasm; Decarboxylase; Lyase; Pantothenate biosynthesis; Pyruvate; Schiff base; Zymogen	Aspartate decarboxylase	NULL	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Pantothenate and CoA biosynthesis [acb00770]; beta-Alanine metabolism [acb00410]	cytoplasm [GO:0005737]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]; pantothenate biosynthetic process [GO:0015940]; aspartate 1-decarboxylase activity [GO:0004068]; alanine biosynthetic process [GO:0006523]	NULL
ABO11261	3,4-dihydroxy-2-butanone 4-phosphate synthase; Complete proteome; Lyase; Magnesium; Manganese; Metal-binding; Reference proteome; Riboflavin biosynthesis	3,4-dihydroxy-2-butanone 4-phosphate synthase	NULL	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Riboflavin metabolism [acb00740]	3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; metal ion binding [GO:0046872]; riboflavin biosynthetic process [GO:0009231]; 3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]; riboflavin biosynthetic process [GO:0009231]	NULL
ABO11301	Elongation factor Tu; Cytoplasm; Elongation factor; GTP-binding; Nucleotide-binding; Protein biosynthesis	Elongation factor Tu GTP binding domain; Elongation factor Tu C-terminal domain; Elongation factor Tu domain 2; 50S ribosome-binding GTPase; RsgA GTPase; CobW/HypB/UreG, nucleotide-binding domain; Lsm C-terminal	Translational (tr)-type guanine nucleotide-binding (G) domain signature; Translational (tr)-type guanine nucleotide-binding (G) domain profile	NULL	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	NULL
ABO11300	Elongation factor G; Cytoplasm; Elongation factor; GTP-binding; Nucleotide-binding; Protein biosynthesis	Elongation factor Tu GTP binding domain; Elongation factor G, domain IV; Elongation Factor G, domain II; Elongation factor G C-terminus; Elongation factor Tu domain 2; Class II release factor RF3, C-terminal domain; tRNA pseudouridine synthase	Translational (tr)-type guanine nucleotide-binding (G) domain signature; Translational (tr)-type guanine nucleotide-binding (G) domain profile	NULL	cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; pseudouridine synthase activity [GO:0009982]; pseudouridine synthesis [GO:0001522]; RNA modification [GO:0009451]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]	NULL
